filename,action_type,timestamp,fps,width,height
cross_left_20260307_194229_108590.mp4,cross_left,2026-03-07T19:42:30.665608,30.0,1920,1080
cross_left_20260307_194232_691718.mp4,cross_left,2026-03-07T19:42:34.214079,30.0,1920,1080
cross_left_20260307_194236_225609.mp4,cross_left,2026-03-07T19:42:37.781282,30.0,1920,1080
cross_left_20260307_194239_794274.mp4,cross_left,2026-03-07T19:42:41.317084,30.0,1920,1080
cross_left_20260307_194243_345183.mp4,cross_left,2026-03-07T19:42:44.868876,30.0,1920,1080
cross_left_20260307_194246_882903.mp4,cross_left,2026-03-07T19:42:48.403010,30.0,1920,1080
cross_left_20260307_194250_419925.mp4,cross_left,2026-03-07T19:42:51.939935,30.0,1920,1080
cross_left_20260307_194254_001369.mp4,cross_left,2026-03-07T19:42:55.545899,30.0,1920,1080
cross_left_20260307_194257_569419.mp4,cross_left,2026-03-07T19:42:59.075458,30.0,1920,1080
cross_left_20260307_194301_106257.mp4,cross_left,2026-03-07T19:43:02.629686,30.0,1920,1080
cross_left_20260307_194304_659351.mp4,cross_left,2026-03-07T19:43:06.164296,30.0,1920,1080
cross_left_20260307_194308_193313.mp4,cross_left,2026-03-07T19:43:09.707377,30.0,1920,1080
cross_left_20260307_194311_730274.mp4,cross_left,2026-03-07T19:43:13.252376,30.0,1920,1080
cross_left_20260307_194315_282235.mp4,cross_left,2026-03-07T19:43:16.821184,30.0,1920,1080
cross_left_20260307_194318_850616.mp4,cross_left,2026-03-07T19:43:20.371094,30.0,1920,1080
cross_left_20260307_194322_385263.mp4,cross_left,2026-03-07T19:43:23.908416,30.0,1920,1080
cross_left_20260307_194325_968217.mp4,cross_left,2026-03-07T19:43:27.475083,30.0,1920,1080
cross_left_20260307_194329_505712.mp4,cross_left,2026-03-07T19:43:31.019405,30.0,1920,1080
cross_left_20260307_194333_039949.mp4,cross_left,2026-03-07T19:43:34.563977,30.0,1920,1080
cross_left_20260307_194336_576751.mp4,cross_left,2026-03-07T19:43:38.098741,30.0,1920,1080
cross_left_20260307_194340_129316.mp4,cross_left,2026-03-07T19:43:41.668032,30.0,1920,1080
cross_left_20260307_194343_696629.mp4,cross_left,2026-03-07T19:43:45.221123,30.0,1920,1080
cross_left_20260307_194347_233015.mp4,cross_left,2026-03-07T19:43:48.739955,30.0,1920,1080
cross_left_20260307_194350_787086.mp4,cross_left,2026-03-07T19:43:52.326471,30.0,1920,1080
cross_left_20260307_194354_354327.mp4,cross_left,2026-03-07T19:43:55.876939,30.0,1920,1080
cross_left_20260307_194357_888136.mp4,cross_left,2026-03-07T19:43:59.416453,30.0,1920,1080
cross_left_20260307_194401_440081.mp4,cross_left,2026-03-07T19:44:02.964605,30.0,1920,1080
cross_left_20260307_194404_975855.mp4,cross_left,2026-03-07T19:44:06.499733,30.0,1920,1080
cross_left_20260307_194408_545838.mp4,cross_left,2026-03-07T19:44:10.072573,30.0,1920,1080
cross_left_20260307_194412_098686.mp4,cross_left,2026-03-07T19:44:13.603421,30.0,1920,1080
cross_left_20260307_194415_632108.mp4,cross_left,2026-03-07T19:44:17.156016,30.0,1920,1080
cross_left_20260307_194419_169775.mp4,cross_left,2026-03-07T19:44:20.756317,30.0,1920,1080
cross_left_20260307_194422_763758.mp4,cross_left,2026-03-07T19:44:24.307021,30.0,1920,1080
cross_left_20260307_194426_321014.mp4,cross_left,2026-03-07T19:44:27.843050,30.0,1920,1080
cross_left_20260307_194429_855338.mp4,cross_left,2026-03-07T19:44:31.380202,30.0,1920,1080
cross_left_20260307_194433_408065.mp4,cross_left,2026-03-07T19:44:34.915971,30.0,1920,1080
cross_left_20260307_194436_944068.mp4,cross_left,2026-03-07T19:44:38.486513,30.0,1920,1080
cross_left_20260307_194440_512966.mp4,cross_left,2026-03-07T19:44:42.024528,30.0,1920,1080
cross_left_20260307_194444_065694.mp4,cross_left,2026-03-07T19:44:45.615402,30.0,1920,1080
cross_left_20260307_194447_632808.mp4,cross_left,2026-03-07T19:44:49.154412,30.0,1920,1080
cross_left_20260307_194451_168456.mp4,cross_left,2026-03-07T19:44:52.704465,30.0,1920,1080
cross_left_20260307_194454_751512.mp4,cross_left,2026-03-07T19:44:56.259598,30.0,1920,1080
cross_left_20260307_194458_287261.mp4,cross_left,2026-03-07T19:44:59.798618,30.0,1920,1080
cross_left_20260307_194501_825329.mp4,cross_left,2026-03-07T19:45:03.345622,30.0,1920,1080
cross_left_20260307_194505_360700.mp4,cross_left,2026-03-07T19:45:06.895391,30.0,1920,1080
cross_left_20260307_194508_911914.mp4,cross_left,2026-03-07T19:45:10.433926,30.0,1920,1080
cross_left_20260307_194512_450863.mp4,cross_left,2026-03-07T19:45:13.971945,30.0,1920,1080
cross_left_20260307_194515_983953.mp4,cross_left,2026-03-07T19:45:17.508031,30.0,1920,1080
cross_left_20260307_194519_535799.mp4,cross_left,2026-03-07T19:45:21.046754,30.0,1920,1080
cross_left_20260307_194523_073357.mp4,cross_left,2026-03-07T19:45:24.590615,30.0,1920,1080
cross_right_20260307_194529_614760.mp4,cross_right,2026-03-07T19:45:31.180489,30.0,1920,1080
cross_right_20260307_194533_215228.mp4,cross_right,2026-03-07T19:45:34.738286,30.0,1920,1080
cross_right_20260307_194536_767637.mp4,cross_right,2026-03-07T19:45:38.273948,30.0,1920,1080
cross_right_20260307_194540_303877.mp4,cross_right,2026-03-07T19:45:41.827006,30.0,1920,1080
cross_right_20260307_194543_839421.mp4,cross_right,2026-03-07T19:45:45.361269,30.0,1920,1080
